label,key,start_s,end_s,peak_fraction
La-144,571440,60,125.83903354842454,0.10844071118992009
Rb-91,370910,125.83903354842454,249.5648731354633,0.07910594991571743
Sr-93,380930,249.5648731354633,962.2566525223365,0.10091617166495695
Rb-89,370890,962.2566525223365,1610.714307239812,0.09314342355415994
Cs-138,551380,1610.714307239812,3933.4709956202514,0.16068602256484635
I-134,531340,3933.4709956202514,20594.9795128566,0.2867522322547138
I-135,531350,20594.9795128566,88393.01212251984,0.19243443010753525
I-132,531320,88393.01212251984,572238.8943104973,0.35333783604998814
La-140,571400,572238.8943104973,5481614.508809914,0.592107599939531
Nb-95,410950,5481614.508809914,50266898.38910493,0.6047789108852936
Ba-137m,561371,50266898.38910493,3155760000,0.9998041571140833
